brand,n_replies,dm_punt_rate,median_reply_chars,ascii_frac,n_answers_to_customer,n_inbound_mentions,reply_rate,groundable_replies
AskTigogh,715,0.0531,88,0.9998,714,0,,676
KFC_UKI_Help,2103,0.7023,97,0.9983,2101,0,,625
PandoraSupport,1043,0.3931,102,0.9977,1022,0,,620
YahooCare,906,0.3079,122,0.9999,876,0,,606
DunkinDonuts,1290,0.5318,78,0.9983,1278,0,,598
AskSeagate,639,0.072,146,0.9998,639,0,,592
NeweggService,1079,0.4486,113,0.9944,1067,0,,588
MOO,630,0.0952,77,0.9988,616,0,,557
asksalesforce,710,0.2239,100,0.9999,707,0,,548
BoostCare,907,0.441,116,0.998,905,0,,505
MTNC_Care,784,0.3712,105,0.9833,775,0,,487
sizehelpteam,1482,0.6795,99,0.9999,1475,0,,472
KeyBank_Help,555,0.2595,127,0.9998,554,0,,410
AskRobinhood,432,0.0579,71,0.9745,430,0,,405
mediatemplehelp,305,0.0492,137,0.9996,302,0,,287
ask_progressive,612,0.5441,136,0.9988,612,0,,279
JackBox,266,0.3158,46,0.9821,255,0,,174
CarlsJr,196,0.0561,115,0.9947,183,0,,172
HiltonHelp,833,0.8079,125,0.9996,830,0,,159
OfficeSupport,218,0.2661,113,0.9993,216,0,,158
HotelTonightCX,152,0.2303,113,0.9965,152,0,,116
DoorDash_Help,1581,0.9361,122,0.9993,1575,0,,100
AskDSC,210,0.7048,90,0.9997,210,0,,61
